EXPID,PEAKID,YEAR,SEASON,HOST,ROUTE1,ROUTE2,ROUTE3,ROUTE4,NATION,SUCCESS1,SUCCESS2,SUCCESS3,SUCCESS4,SMTDAYS,TOTDAYS,TERMDATE,TERMREASON,SKI,PARAPENTE,TOTMEMBERS,SMTMEMBERS,MDEATHS,TOTHIRED,SMTHIRED,HDEATHS,O2USED,COMRTE,STDRTE,PRIMRTE,CAMP_HEIGHTS,CAMP_SITES_LIST,NUM_CAMPS,TERMREASON_STRING,YEAR_SEASON_DATE,PKNAME,PKNAME2,LOCATION,HEIGHTM,REGION,OPEN,PSTATUS,NAME,ALTERNATE_NAMES,LAT,LON,ELEVATION_M
EVER19150,EVER,2019,1,1,S Col-SE Ridge,,,,India,1,0,0,0,0,0,,1,0,0,4,3,0,6,5,0,1,1,True,False,[],"[('', 'BC,'), ('', 'C1,'), ('', 'C2,'), ('', 'C3,'), ('', 'C4,')]",5,Success (main peak),2019-03-02,Everest,"Sagarmatha, Chomolungma, Qomolungma",Khumbu Himal,8849,2,True,2,Sagarmatha,"Everest,Jomolangma,Chomolungma,Qomolungma",27.9881,86.9281,8848.86
EVER19151,EVER,2019,1,1,S Col-SE Ridge,,,,India,0,0,0,0,50,54,2019-05-24,8,0,0,1,0,0,1,0,0,1,1,True,False,"['5300', '6100', '6600', '7100', '7900']","[('BC(31/03,5300m),', ''), ('C1(19/04,6100m),', ''), ('C2(08/05,6600m),', ''), ('C3(19/05,7100m),', ''), ('C4(20/05,7900m),', '')]",5,"Lack (or loss) of supplies, support or equipment",2019-03-02,Everest,"Sagarmatha, Chomolungma, Qomolungma",Khumbu Himal,8849,2,True,2,Sagarmatha,"Everest,Jomolangma,Chomolungma,Qomolungma",27.9881,86.9281,8848.86
EVER19152,EVER,2019,1,1,S Col-SE Ridge,,,,Romania,1,0,0,0,52,55,2019-05-25,1,0,0,1,1,0,1,1,0,1,1,True,False,"['5200', '6100', '6500', '7100', '7900']","[('BC(31/03,5200m),', ''), ('C1(15/04,6100m),', ''), ('C2(16/04,6500m),', ''), ('C3(19/05,7100m),', ''), ('C4(20/05,7900m),', '')]",5,Success (main peak),2019-03-02,Everest,"Sagarmatha, Chomolungma, Qomolungma",Khumbu Himal,8849,2,True,2,Sagarmatha,"Everest,Jomolangma,Chomolungma,Qomolungma",27.9881,86.9281,8848.86
EVER19153,EVER,2019,1,1,S Col-SE Ridge,,,,Nepal,0,0,0,0,23,0,,7,0,0,2,0,0,2,0,0,1,1,True,False,"['5350', '5900', '6300', '7200']","[('BC(20/04,5350m),', ''), ('C1(27/04,5900m),', ''), ('C2(28/04,6300m),', ''), ('C3(13/05,7200m),', '')]",4,"Illness, AMS, exhaustion, or frostbite",2019-03-02,Everest,"Sagarmatha, Chomolungma, Qomolungma",Khumbu Himal,8849,2,True,2,Sagarmatha,"Everest,Jomolangma,Chomolungma,Qomolungma",27.9881,86.9281,8848.86
EVER19154,EVER,2019,1,1,S Col-SE Ridge,,,,Nepal,1,0,0,0,0,0,,1,0,0,3,3,0,1,1,0,1,1,True,False,[],"[('', 'BC,'), ('', 'C1,'), ('', 'C2,'), ('', 'C3,'), ('C4(21/05),', '')]",5,Success (main peak),2019-03-02,Everest,"Sagarmatha, Chomolungma, Qomolungma",Khumbu Himal,8849,2,True,2,Sagarmatha,"Everest,Jomolangma,Chomolungma,Qomolungma",27.9881,86.9281,8848.86
EVER19155,EVER,2019,1,1,S Col-SE Ridge,,,,Nepal,1,0,0,0,17,0,,1,0,0,7,7,0,7,7,0,1,1,True,False,['5350'],"[('BC(05/05,5350m),', ''), ('C1(6200m),', ''), ('C2(6500m),', ''), ('C3(7100m),', ''), ('C4(7900m),', '')]",5,Success (main peak),2019-03-02,Everest,"Sagarmatha, Chomolungma, Qomolungma",Khumbu Himal,8849,2,True,2,Sagarmatha,"Everest,Jomolangma,Chomolungma,Qomolungma",27.9881,86.9281,8848.86
EVER19156,EVER,2019,1,1,S Col-SE Ridge,,,,Nepal,1,0,0,0,11,0,,1,0,0,3,3,0,2,2,0,1,1,True,False,['5350'],"[('BC(05/05,5350m),', ''), ('C1(6200m),', ''), ('C2(6500m),', ''), ('C3(7100m),', ''), ('C4(7900m),', '')]",5,Success (main peak),2019-03-02,Everest,"Sagarmatha, Chomolungma, Qomolungma",Khumbu Himal,8849,2,True,2,Sagarmatha,"Everest,Jomolangma,Chomolungma,Qomolungma",27.9881,86.9281,8848.86
EVER19157,EVER,2019,1,1,S Col-SE Ridge,,,,Nepal,1,0,0,0,3,4,2019-05-23,1,0,0,1,1,0,1,1,0,1,1,True,False,"['5350', '6400', '7900']","[('BC(19/05,5350m),', ''), ('C2(20/05,6400m),', ''), ('C4(21/05,7900m),', '')]",3,Success (main peak),2019-03-02,Everest,"Sagarmatha, Chomolungma, Qomolungma",Khumbu Himal,8849,2,True,2,Sagarmatha,"Everest,Jomolangma,Chomolungma,Qomolungma",27.9881,86.9281,8848.86
EVER19158,EVER,2019,1,1,S Col-SE Ridge,,,,France,1,0,0,0,41,44,2019-05-26,1,0,0,1,1,0,2,2,0,1,1,True,False,"['5400', '6000', '7100']","[('BC(12/04,5400m),', ''), ('C1(15/04,6000m),', ''), ('C2(16/04,7100m),', ''), ('C3(7100m),', ''), ('C4(7900m),', '')]",5,Success (main peak),2019-03-02,Everest,"Sagarmatha, Chomolungma, Qomolungma",Khumbu Himal,8849,2,True,2,Sagarmatha,"Everest,Jomolangma,Chomolungma,Qomolungma",27.9881,86.9281,8848.86
EVER19159,EVER,2019,1,1,S Col-SE Ridge,,,,China,1,0,0,0,39,12,2019-04-25,1,0,0,6,5,0,7,7,0,1,1,True,False,[],"[('BC(13/04),', ''), ('C2(07/05),', ''), ('C3(08/05),', ''), ('C4(21/05),', '')]",4,Success (main peak),2019-03-02,Everest,"Sagarmatha, Chomolungma, Qomolungma",Khumbu Himal,8849,2,True,2,Sagarmatha,"Everest,Jomolangma,Chomolungma,Qomolungma",27.9881,86.9281,8848.86
EVER19160,EVER,2019,1,2,N Col-NE Ridge,,,,Switzerland,1,0,0,0,32,34,2019-05-25,1,0,0,8,7,1,9,8,0,1,1,True,False,"['5700', '6400', '7000', '7700', '8300']","[('BC(21/04,5700m),', ''), ('ABC(28/94,6400m),', ''), ('C1(10/05,7000m),', ''), ('C2(21/05,7700m),', ''), ('C3(22/05,8300m),', '')]",5,Success (main peak),2019-03-02,Everest,"Sagarmatha, Chomolungma, Qomolungma",Khumbu Himal,8849,2,True,2,Sagarmatha,"Everest,Jomolangma,Chomolungma,Qomolungma",27.9881,86.9281,8848.86
EVER19161,EVER,2019,1,2,N Col-NE Ridge,,,,UK,0,0,0,0,44,47,2019-05-27,14,0,0,8,0,0,0,0,0,1,1,True,False,"['5200', '6400', '7000', '7800', '8300']","[('CBC(16/04,5200m),', ''), ('ABC(23/04,6400m),', ''), ('C1(29/04,7000m),', ''), ('C2(18/05,7800m),', ''), ('C3(22/05,8300m),', '')]",5,Other,2019-03-02,Everest,"Sagarmatha, Chomolungma, Qomolungma",Khumbu Himal,8849,2,True,2,Sagarmatha,"Everest,Jomolangma,Chomolungma,Qomolungma",27.9881,86.9281,8848.86
EVER19162,EVER,2019,1,2,N Col-NE Ridge,,,,USA,1,0,0,0,30,34,2019-05-28,1,0,0,7,7,0,10,10,0,1,1,True,False,"['5180', '6490', '7000']","[('BC(24/05,5180m),', ''), ('ABC(03/05,6490m),', ''), ('C1(20/05,7000m),', ''), ('C2(21/08),', ''), ('C3(23/08),', '')]",5,Success (main peak),2019-03-02,Everest,"Sagarmatha, Chomolungma, Qomolungma",Khumbu Himal,8849,2,True,2,Sagarmatha,"Everest,Jomolangma,Chomolungma,Qomolungma",27.9881,86.9281,8848.86
EVER19163,EVER,2019,1,2,N Col-NE Ridge,,,,New Zealand,1,0,0,0,10,11,2019-05-23,1,0,0,2,2,0,2,2,0,1,1,True,False,"['5700', '6400', '7000', '7700', '8300']","[('BC(18/04,5700m),', ''), ('ABC(23/05,6400m),', ''), ('C1(30/04,7000m),', ''), ('C2(21/05,7700m),', ''), ('C3(22/05,8300m),', '')]",5,Success (main peak),2019-03-02,Everest,"Sagarmatha, Chomolungma, Qomolungma",Khumbu Himal,8849,2,True,2,Sagarmatha,"Everest,Jomolangma,Chomolungma,Qomolungma",27.9881,86.9281,8848.86
EVER19164,EVER,2019,1,2,NE Ridge,,,,USA,0,0,0,0,36,42,2019-05-28,4,0,0,4,0,0,0,0,0,0,0,False,False,"['5200', '6400', '7300', '7600']","[('BC(16/04,5200m),', ''), ('ABC(26/04,6400m),', ''), ('C1(22/05,7300m),', '')]",3,"Bad weather (storms, high winds)",2019-03-02,Everest,"Sagarmatha, Chomolungma, Qomolungma",Khumbu Himal,8849,2,True,2,Sagarmatha,"Everest,Jomolangma,Chomolungma,Qomolungma",27.9881,86.9281,8848.86
