PEAKID,PKNAME,YEAR,HOST,LAT,LON,HEIGHTM,COMRTE,ROUTE_SUCCESS,ROUTE_HIGHPOINT,ROUTE
MAKA,Makalu,1986,1,27.890887,87.08841,8485,Not Known,1,,Makalu La-NW Ridge
MAKA,Makalu,1986,1,27.890887,87.08841,8485,Not Known,0,,Makalu La-NW Ridge
MAKA,Makalu,1984,1,27.890887,87.08841,8485,Not Known,1,,W Face-NW Ridge up
MAKA,Makalu,1984,1,27.890887,87.08841,8485,Not Known,1,,variation down
MAKA,Makalu,1984,1,27.890887,87.08841,8485,Not Known,0,(to 6800m),SE Buttress
MAKA,Makalu,1984,1,27.890887,87.08841,8485,Not Known,0,,Makalu La-NW Ridge
MAKA,Makalu,1984,1,27.890887,87.08841,8485,Not Known,0,,W Pillar
MAKA,Makalu,1984,1,27.890887,87.08841,8485,Not Known,1,,Makalu La-NW Ridge
MAKA,Makalu,1992,1,27.890887,87.08841,8485,Not Known,0,,Makalu La-NW Ridge
MAKA,Makalu,1992,1,27.890887,87.08841,8485,False,0,(to 7000m),W Face
MAKA,Makalu,1992,1,27.890887,87.08841,8485,Not Known,0,,Makalu La-NW Ridge
MAKA,Makalu,1992,1,27.890887,87.08841,8485,Not Known,0,,Makalu La-NW Ridge
MAKA,Makalu,1992,1,27.890887,87.08841,8485,Not Known,0,,Makalu La-NW Ridge
MAKA,Makalu,1992,1,27.890887,87.08841,8485,Not Known,0,,Makalu La-NW Ridge
MAKA,Makalu,1993,1,27.890887,87.08841,8485,Not Known,0,(to 7600m),W Face
MAKA,Makalu,1993,1,27.890887,87.08841,8485,Not Known,0,(to 7650m),W Pillar
MAKA,Makalu,1993,1,27.890887,87.08841,8485,Not Known,0,,Left point of W Face-NW Ridge
MAKA,Makalu,1993,1,27.890887,87.08841,8485,Not Known,0,(to 6800m),W Pillar
MAKA,Makalu,1993,1,27.890887,87.08841,8485,Not Known,0,,Makalu La-NW Ridge
MAKA,Makalu,1993,1,27.890887,87.08841,8485,Not Known,0,,W Pillar
MAKA,Makalu,1994,1,27.890887,87.08841,8485,Not Known,1,,Makalu La-NW Ridge
MAKA,Makalu,1995,2,27.890887,87.08841,8485,Not Known,1,,E Ridge to plateau E of Makalu La-NW Ridge
MAKA,Makalu,1995,1,27.890887,87.08841,8485,False,1,,Makalu La-NW Ridge
MAKA,Makalu,1995,1,27.890887,87.08841,8485,Not Known,1,,Makalu La-NW Ridge
MAKA,Makalu,1995,1,27.890887,87.08841,8485,Not Known,1,,Makalu La-NW Ridge
MAKA,Makalu,1995,1,27.890887,87.08841,8485,False,1,,Makalu La-NW Ridge
MAKA,Makalu,1983,1,27.890887,87.08841,8485,Not Known,0,,Makalu La-NW Ridge
MAKA,Makalu,1995,1,27.890887,87.08841,8485,Not Known,1,,SE Ridge
MAKA,Makalu,1995,1,27.890887,87.08841,8485,Not Known,0,,Makalu La-NW Ridge
MAKA,Makalu,1984,1,27.890887,87.08841,8485,Not Known,0,(to 8370m),SE Ridge
MAKA,Makalu,1983,1,27.890887,87.08841,8485,Not Known,0,,SE Ridge
MAKA,Makalu,1982,1,27.890887,87.08841,8485,Not Known,1,,SE Ridge-E Face
MAKA,Makalu,1996,1,27.890887,87.08841,8485,Not Known,1,,Makalu La-NW Ridge
MAKA,Makalu,1981,1,27.890887,87.08841,8485,Not Known,0,,Makalu La-NW Ridge
MAKA,Makalu,1981,1,27.890887,87.08841,8485,Not Known,0,(to 7000m),W Pillar
MAKA,Makalu,1981,1,27.890887,87.08841,8485,Not Known,0,,NW side
MAKA,Makalu,1981,1,27.890887,87.08841,8485,Not Known,0,,Makalu La-NW Ridge
MAKA,Makalu,1981,1,27.890887,87.08841,8485,Not Known,0,(to 7800m),Makalu La-NW Ridge
MAKA,Makalu,1981,1,27.890887,87.08841,8485,Not Known,1,,Makalu La-NW Ridge
MAKA,Makalu,1980,1,27.890887,87.08841,8485,Not Known,0,,SE Ridge
MAKA,Makalu,1980,1,27.890887,87.08841,8485,Not Known,1,,W Pillar
MAKA,Makalu,1980,1,27.890887,87.08841,8485,False,0,(to 8075m),SE Ridge
MAKA,Makalu,1996,1,27.890887,87.08841,8485,Not Known,0,(to 6800m),NW Ridge route
MAKA,Makalu,1996,1,27.890887,87.08841,8485,False,0,,NW Ridge
MAKA,Makalu,1996,1,27.890887,87.08841,8485,Not Known,0,,NW Ridge
MAKA,Makalu,1996,1,27.890887,87.08841,8485,Not Known,0,,Makalu La-NW Ridge
MAKA,Makalu,1996,1,27.890887,87.08841,8485,False,0,,Makalu La-NW Ridge
MAKA,Makalu,1996,1,27.890887,87.08841,8485,Not Known,0,(to 6420m),NE Ridge
MAKA,Makalu,1982,1,27.890887,87.08841,8485,Not Known,1,,W Face-NW Ridge
MAKA,Makalu,1982,1,27.890887,87.08841,8485,Not Known,1,,Makalu La-NW Ridge
MAKA,Makalu,1982,1,27.890887,87.08841,8485,Not Known,0,(to 7400m),W Pillar
MAKA,Makalu,1975,1,27.890887,87.08841,8485,Not Known,1,,S Face
MAKA,Makalu,1996,1,27.890887,87.08841,8485,Not Known,0,,Makalu La-NW Ridge
MAKA,Makalu,1978,1,27.890887,87.08841,8485,Not Known,1,,Makalu La-NW Ridge
MAKA,Makalu,1978,1,27.890887,87.08841,8485,Not Known,0,,Makalu La-NW Ridge
MAKA,Makalu,1977,1,27.890887,87.08841,8485,Not Known,0,,W Face
MAKA,Makalu,1976,1,27.890887,87.08841,8485,Not Known,1,,SE Ridge
MAKA,Makalu,1976,1,27.890887,87.08841,8485,Not Known,1,,SE Buttress up
MAKA,Makalu,1976,1,27.890887,87.08841,8485,Not Known,1,,SE Ridge down
MAKA,Makalu,1997,1,27.890887,87.08841,8485,Not Known,1,,W Face-W Pillar-S Ridge
MAKA,Makalu,1997,1,27.890887,87.08841,8485,Not Known,0,,Makalu La-NW Ridge
MAKA,Makalu,1997,1,27.890887,87.08841,8485,Not Known,0,,Makalu La-NW Ridge
MAKA,Makalu,1997,1,27.890887,87.08841,8485,Not Known,0,,Makalu La-NW Ridge
MAKA,Makalu,1974,1,27.890887,87.08841,8485,Not Known,0,,S Face
MAKA,Makalu,1974,1,27.890887,87.08841,8485,Not Known,0,,S Face
MAKA,Makalu,1973,1,27.890887,87.08841,8485,Not Known,0,,SE Buttress
MAKA,Makalu,1972,1,27.890887,87.08841,8485,Not Known,0,,S Face
